iter	Passed	Remaining
0	2	644
1	3	531
2	4	461
3	5	430
4	6	408
5	8	403
6	9	409
7	11	406
8	12	398
9	13	392
10	14	388
11	15	380
12	17	375
13	17	366
14	18	360
15	20	355
16	21	351
17	22	347
18	23	343
19	24	341
20	25	339
21	26	335
22	27	333
23	28	332
24	30	330
25	31	328
26	32	326
27	33	324
28	34	322
29	35	319
30	36	318
31	37	316
32	39	316
33	40	314
34	41	313
35	42	312
36	43	311
37	45	311
38	46	310
39	47	309
40	48	308
41	49	306
42	51	305
43	52	304
44	53	303
45	54	302
46	55	299
47	56	298
48	58	297
49	59	296
50	60	295
51	61	292
52	62	290
53	63	290
54	64	288
55	66	287
56	67	286
57	68	285
58	69	284
59	70	282
60	71	281
61	73	280
62	74	278
63	75	277
64	76	276
65	77	275
66	78	274
67	80	273
68	81	271
69	82	270
70	83	269
71	84	268
72	86	267
73	87	266
74	88	264
75	89	263
76	90	262
77	91	261
78	92	259
79	94	258
80	94	256
81	95	254
82	97	253
83	98	252
84	99	251
85	100	250
86	101	248
87	102	247
88	103	246
89	105	245
90	106	243
91	107	242
92	108	241
93	109	240
94	110	238
95	111	237
96	113	236
97	114	235
98	115	234
99	116	233
100	117	231
101	118	230
102	120	229
103	121	228
104	122	227
105	123	226
106	124	225
107	125	223
108	127	222
109	128	221
110	129	220
111	130	219
112	131	218
113	133	217
114	134	215
115	135	214
116	136	213
117	137	212
118	138	211
119	139	209
120	141	208
121	142	207
122	144	207
123	145	206
124	146	205
125	147	204
126	149	203
127	150	201
128	151	200
129	152	199
130	153	198
131	155	197
132	156	196
133	157	195
134	158	193
135	159	192
136	160	191
137	162	190
138	163	189
139	164	187
140	165	186
141	166	185
142	167	184
143	169	183
144	170	181
145	171	180
146	172	179
147	173	178
148	174	177
149	176	176
150	177	174
151	178	173
152	179	172
153	180	171
154	181	170
155	182	168
156	183	167
157	185	166
158	186	165
159	187	163
160	188	162
161	189	161
162	190	160
163	191	159
164	193	157
165	194	156
166	195	155
167	196	154
168	197	153
169	198	151
170	199	150
171	200	149
172	202	148
173	203	147
174	204	146
175	205	144
176	206	143
177	208	142
178	208	141
179	210	140
180	211	138
181	212	137
182	213	136
183	214	135
184	216	134
185	217	133
186	218	131
187	219	130
188	220	129
189	221	128
190	222	127
191	224	126
192	225	124
193	226	123
194	227	122
195	228	121
196	229	120
197	230	118
198	232	117
199	233	116
200	234	115
201	235	114
202	236	113
203	238	112
204	239	110
205	240	109
206	241	108
207	242	107
208	243	106
209	245	105
210	246	103
211	247	102
212	248	101
213	249	100
214	251	99
215	252	98
216	253	97
217	254	95
218	256	94
219	257	93
220	258	92
221	259	91
222	260	89
223	261	88
224	262	87
225	263	86
226	264	85
227	266	84
228	267	82
229	268	81
230	269	80
231	270	79
232	271	78
233	273	77
234	274	75
235	275	74
236	276	73
237	277	72
238	278	71
239	279	69
240	281	68
241	282	67
242	283	66
243	284	65
244	285	64
245	286	62
246	287	61
247	288	60
248	290	59
249	291	58
250	292	57
251	293	55
252	294	54
253	296	53
254	297	52
255	298	51
256	299	50
257	300	48
258	302	47
259	303	46
260	305	45
261	306	44
262	307	43
263	309	42
264	310	40
265	311	39
266	312	38
267	313	37
268	315	36
269	316	35
270	317	33
271	318	32
272	319	31
273	320	30
274	322	29
275	323	28
276	324	26
277	325	25
278	326	24
279	327	23
280	328	22
281	329	21
282	331	19
283	332	18
284	333	17
285	334	16
286	335	15
287	336	14
288	338	12
289	339	11
290	340	10
291	341	9
292	342	8
293	343	7
294	344	5
295	346	4
296	347	3
297	348	2
298	349	1
299	351	0
